k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030015000200-6                             ;DUSUN 2 SIHAIL HAIL;6;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-7                             ;DUSUN 2 SIHAIL HAIL;7;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-8                             ;DUSUN 2 SIHAIL HAIL;8;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-13                            ;DUSUN 2 SIHAIL HAIL;13;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-15                            ;DUSUN 2 SIHAIL HAIL;15;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-18                            ;DUSUN 2 SIHAIL HAIL;18;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-21                            ;DUSUN 2 SIHAIL HAIL;21;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-23                            ;DUSUN 2 SIHAIL HAIL;23;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-24                            ;DUSUN 2 SIHAIL HAIL;24;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-25                            ;DUSUN 2 SIHAIL HAIL;25;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-26                            ;DUSUN 2 SIHAIL HAIL;26;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-29                            ;DUSUN 2 SIHAIL HAIL;29;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-30                            ;DUSUN 2 SIHAIL HAIL;30;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-31                            ;DUSUN 2 SIHAIL HAIL;31;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-32                            ;DUSUN 2 SIHAIL HAIL;32;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-33                            ;DUSUN 2 SIHAIL HAIL;33;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-36                            ;DUSUN 2 SIHAIL HAIL;36;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-37                            ;DUSUN 2 SIHAIL HAIL;37;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-38                            ;DUSUN 2 SIHAIL HAIL;38;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-39                            ;DUSUN 2 SIHAIL HAIL;39;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-40                            ;DUSUN 2 SIHAIL HAIL;40;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-42                            ;DUSUN 2 SIHAIL HAIL;42;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000200-46                            ;DUSUN 2 SIHAIL HAIL;46;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-4                             ;DUSUN 3 SIOPAT OPAT;4;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-5                             ;DUSUN 3 SIOPAT OPAT;5;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-5                             ;DUSUN 3 SIOPAT OPAT;5;3;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-10                            ;DUSUN 3 SIOPAT OPAT;10;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-11                            ;DUSUN 3 SIOPAT OPAT;11;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-13                            ;DUSUN 3 SIOPAT OPAT;13;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-14                            ;DUSUN 3 SIOPAT OPAT;14;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-15                            ;DUSUN 3 SIOPAT OPAT;15;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-16                            ;DUSUN 3 SIOPAT OPAT;16;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-17                            ;DUSUN 3 SIOPAT OPAT;17;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-18                            ;DUSUN 3 SIOPAT OPAT;18;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-19                            ;DUSUN 3 SIOPAT OPAT;19;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-20                            ;DUSUN 3 SIOPAT OPAT;20;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-21                            ;DUSUN 3 SIOPAT OPAT;21;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-22                            ;DUSUN 3 SIOPAT OPAT;22;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-23                            ;DUSUN 3 SIOPAT OPAT;23;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-27                            ;DUSUN 3 SIOPAT OPAT;27;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-28                            ;DUSUN 3 SIOPAT OPAT;28;2;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-29                            ;DUSUN 3 SIOPAT OPAT;29;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-31                            ;DUSUN 3 SIOPAT OPAT;31;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-32                            ;DUSUN 3 SIOPAT OPAT;32;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-33                            ;DUSUN 3 SIOPAT OPAT;33;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-35                            ;DUSUN 3 SIOPAT OPAT;35;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-36                            ;DUSUN 3 SIOPAT OPAT;36;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
1206030015000300-38                            ;DUSUN 3 SIOPAT OPAT;38;1;Status Berusaha Tidak Konsisten dengan Jumlah Buruh;Sesuaikan rincian 418, jika berkode 1 maka 422 dan 423 adalah 0, jika rincian 418 berkode 2 maka 423 harus terisi lebih dari 0, jika 418 berkode 3 maka 422 harus terisi lebih dari 0;;
